a_tstamp,b_windspeed,c_temperature,d_solarflux,e_humidity,f_ma_5_windspeed,g_ma_5_temperature,h_ma_5_solarflux,i_ma_5_humidity,j_mm_5_windspeed,k_mm_5_temperature,l_mm_5_solarflux,m_mm_5_humidity,n_sd_5_windspeed,o_sd_5_temperature,p_sd_5_solarflux,q_sd_5_humidity,r_clearingprice
965097900,8.20676,62.5176,47.5089,0.65531,8.013822,60.61186,39.63294,0.692062,7.94811,60.082,37.6508,0.7,0.1072628639,1.0083946382,4.0513888555,0.0190768807,0.12
965098800,8.44443,64.4695,52.8647,0.61875,8.113086,61.35774,42.84336,0.677312,8.05297,60.082,39.4061,0.7,0.1946099094,1.8529735417,6.2874467058,0.0349464787,0.12
965099700,8.76599,65.9376,55.4736,0.59031,8.283652,62.55136,46.58082,0.654374,8.20676,62.5176,47.5089,0.65531,0.2933307042,2.4121284598,7.080280796,0.0453392662,0.12
965100600,9.17144,66.922,55.3354,0.57,8.528318,63.98574,50.11774,0.626874,8.44443,64.4695,52.8647,0.61875,0.4016183142,2.4519390299,6.0827671185,0.0464620174,0.12
965101500,10.248,66.7982,45.8918,0.56625,8.967324,65.32898,51.41488,0.600124,8.76599,65.9376,52.8647,0.59031,0.7175242813,1.6558563831,3.9926621592,0.0332975684,0.12
965102400,11.0169,66.607,38.0735,0.565,9.529352,66.14686,49.5278,0.582062,9.17144,66.607,52.8647,0.57,0.9609508093,0.9048912589,6.7027925747,0.0204971309,0.12
965103300,11.4783,66.3482,31.8806,0.56625,10.136126,66.5226,45.33098,0.571562,10.248,66.607,45.8918,0.56625,1.0389996549,0.3507818239,9.3472928398,0.0095228345,0.12
965104200,11.6321,66.022,27.3131,0.57,10.709348,66.53948,39.69888,0.5675,11.0169,66.607,38.0735,0.56625,0.9072320164,0.3231687262,10.0002792396,0.0020916501,0.12
965105100,11.1008,65.257,26.5752,0.58563,11.09522,66.20648,33.94684,0.570626,11.1008,66.3482,31.8806,0.56625,0.4814431032,0.5415124242,7.243318612,0.0076871649,0.12
965106000,10.5136,64.672,25.9932,0.5975,11.14834,65.78124,29.96712,0.576876,11.1008,66.022,27.3131,0.57,0.3912361773,0.7164537043,4.5544656334,0.0126744824,0.12
965106900,9.87048,64.267,25.567,0.60563,10.919056,65.31324,27.46582,0.585002,11.1008,65.257,26.5752,0.58563,0.6508644521,0.7851691222,2.2838974096,0.015223707,0.12
965107800,9.17144,64.042,25.2967,0.61,10.457684,64.852,26.14904,0.593752,10.5136,64.672,25.9932,0.5975,0.8712301527,0.7160516741,0.7247328021,0.0144862437,0.12
965108700,7.59859,63.9632,24.1086,0.61063,9.650982,64.44024,25.50814,0.601878,9.87048,64.267,25.567,0.60563,1.211324471,0.4768613954,0.8222875205,0.0093787662,0.12
965109600,6.51508,64.087,23.7922,0.6075,8.733838,64.20624,24.95154,0.606252,9.17144,64.087,25.2967,0.6075,1.4739524014,0.2533320161,0.8529477208,0.0047277115,0.12
965110500,5.92089,64.4132,24.3474,0.60063,7.815296,64.15448,24.62238,0.606878,7.59859,64.087,24.3474,0.6075,1.5092518049,0.163334092,0.6893180874,0.0036001744,0.12
965111400,5.81603,64.942,25.7742,0.59,7.004406,64.28948,24.66382,0.603752,6.51508,64.087,24.3474,0.6075,1.2549721397,0.3604974696,0.7485443378,0.0077363594,0.12
965112300,7.2281,66.2807,27.8397,0.56719,6.615738,64.73722,25.17242,0.59519,6.51508,64.4132,24.3474,0.60063,0.7033440032,0.8427511291,1.4962553263,0.0156873159,0.12
965113200,8.44443,67.417,30.9322,0.54625,6.784906,65.42798,26.53714,0.582314,6.51508,64.942,25.7742,0.59,0.9704113818,1.2447902898,2.604801308,0.0226196044,0.12
